MAPINFO_ID,CODIGOPROVINCIA,PROVINCIA,CODIGOCANTON,CANTON,ALTERNOCANTON,ALTERNO,AM,GAM,PCD,PAcueducto_de_empresa_o_coopera,PAcueducto_del_A_y_A,PAcueducto_municipal,PAcueducto_rural_o_comunal__ASA,PNo_Aplica,POtra_fuente__Lluvia__camión_ci,PPozo,PRío_o_quebrada,VAcueducto_de_empresa_o_coopera,VAcueducto_del_A_y_A,VAcueducto_municipal,VAcueducto_rural_o_comunal__ASA,VNo_Aplica,VOtra_fuente__Lluvia__camión_ci,VPozo,VRío_o_quebrada,AASumaAbonadosPotable,AASumaPorcentajeAbonadosPotable,AASumaAbonadosNoPotable,AASumaPorcentajeAbonadosNoPotab,AASumaAbonadosSE,AASumaPorcentajeAbonadosSE,AASumaTotalAbonados,AACloroAbonadosPotable,AACloroAbonadosNoPotable,AACloroSE,AACloroTotal,AANoCloroPotable,AANoCloroNoPotable,AANoCloroSE,AANoCloroTotal,ESumaAbonadosPotable,ESumaPorcentajeAbonadosPotable,ESumaAbonadosNoPotable,ESumaPorcentajeAbonadosNoPotabl,ESumaAbonadosSE,ESumaPorcentajeAbonadosSE,ESumaTotalAbonados,ECloroAbonadosPotable,ECloroAbonadosNoPotable,ECloroSE,ECloroTotal,ENoCloroPotable,ENoCloroNoPotable,ENoCloroSE,ENoCloroTotal,ASumaAbonadosPotable,ASumaPorcentajeAbonadosPotable,ASumaAbonadosNoPotable,ASumaPorcentajeAbonadosNoPotabl,ASumaAbonadosSE,ASumaPorcentajeAbonadosSE,ASumaTotalAbonados,ACloroAbonadosPotable,ACloroAbonadosNoPotable,ACloroSE,ACloroTotal,ANoCloroPotable,ANoCloroNoPotable,ANoCloroSE,ANoCloroTotal,VIVIENDAS,PERSONAS,ViviendaSinTuberia,ViviendaConTuberia,ViviendaNATuberia,PersonaConAccesoTuberia,PersonaSinAccesoTuberia,PersonaNAAccesoTuberia,VivConAlcantarilladoSanitario,VivLetrina,VivNAServicio,VivSinServicio,VivTanSeptico,VivEmisarioRio,PerConAlcantarillado,PerLetrina,PerNAServicio,PerSinServicio,PerTanSeptico,PerEmisarioRio,ViviendasConTanque,ViviendasNATanque,ViviendasSinTanque,PersonasConTanque,PersonasNATanque,PersonasSinTanque,SENARAlitrosAbastPublic,SENARAlitrosDomestico,SENARAlitrosRiego,SENARAlitrosOtrosUsos,SENARAlitrosTuristico,SENARAlitrosAbrevadero,SENARAlitrosIndustrial,SENARAlitrosUrbanistico,SENARAlitrosAgroIndustria,SENARAlitrosDomesticoRiego,SENARAlitrosVarios,SENARAlitrosRiegoDomesticoTuris,SENARAlitrosSinDeterminar,SENARAlitrosRiegoTurismo,SENARAPozosAbastecimientoPublic,SENARAPozosDomestico,SENARAPozosRiego,SENARAPozosOtrosUsos,SENARAPozosTuristico,SENARAPozosAbrevadero,SENARAPozosIndustrial,SENARAPozosUrbanistico,SENARAPozosAgroindustria,SENARAPozosDomesticoRiego,SENARAPozosVarios,SENARAPozosDomesticoTurismo,SENARAPozosSinDefinir,SENARAPozosRiegoTurismo,AyALitrosSuperficial,AyALitrosSubterrraneo,AyALitrosSubsuperficial,AsadaLitrosSuperficial,AsadaLitrosSubsuperficial,AsadaLitrosSubterranea
1,1,San José,101,San José,San José,,True,True,San José_San José_Merced,,285896,,,1395,550,181,32,,81688,,,324,161,49,5,1125589,100,0,0,0,0,1125589,1125589,0,0,1125589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82227,288054,540,81363,324,284820,1839,1395,67245,183,324,133,11848,2494,230758,800,1395,382,43969,10750,9209,72694,72694,29509,1395,257150,1758,6164,3,0,495,0,3891,0,0,41,0,0,3,0,8,71,2,0,6,0,32,0,2,1,0,0,2,0,0,0,0,0,0,0
2,1,San José,102,Escazú,Escazú,,True,True,San José_Escazú_San Antonio,,55440,,,153,88,461,367,,16301,,,21,32,124,108,8383,56.51968716,0,35.38295577,1201,0,14832,8273,3369,0,11642,110,1879,1201,3190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16586,56509,118,16447,21,55971,385,153,2707,52,21,29,13674,103,8488,176,153,54,47237,401,6098,10467,10467,19811,153,36545,108,8821,1001,0,0,0,442,517,81,1181,0,0,38,0,1,144,13,0,0,0,6,4,2,10,0,0,55,0,0,0,0,0,0,0
3,1,San José,103,Desamparados,Desamparados,,True,True,San José_Desamparados_San Miguel,49,186689,113,17645,933,1058,564,1360,13,51605,32,4856,47,320,153,376,9879,100,0,0,0,0,9879,9879,0,0,9879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11467,52.7,2325,10.7,7962,36.6,21754,8097,508,5416,14021,3370,1817,2546,7733,57402,208411,502,56853,47,205793,1685,933,22921,247,47,104,33213,870,79591,943,933,298,123052,3594,6692,50663,50663,23969,933,183509,170,1204,65,0,0,0,540,113,0,91,0,0,1,0,2,29,2,0,1,1,8,2,1,3,0,0,7,0,0,0,0,0,0,0
4,1,San José,104,Puriscal,Puriscal,,False,False,San José_Puriscal_Mercedes Sur,9,20685,89,9808,77,439,163,1734,3,6103,28,2930,8,141,49,533,25220,100,0,0,0,0,25220,25220,0,0,25220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4854,45,1849,17.1,4088,37.9,10791,2770,297,300,3367,2084,1552,3788,7424,9795,33004,238,9549,8,32256,671,77,105,320,8,33,9319,10,341,921,77,78,31561,26,2168,7619,7619,7419,77,25508,130,294,118,0,0,0,0,89,0,315,60,0,128,0,2,10,2,0,0,0,0,1,0,4,1,0,21,0,0,0,0,0,0,0
5,1,San José,105,Tarrazú,Tarrazú,,False,False,San José_Tarrazú_San Lorenzo,68,582,5030,8072,3,272,213,2040,18,144,1441,2283,3,77,52,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6820,100,0,0,0,0,6820,6820,0,0,6820,0,0,0,0,5202,44.1,2994,25.4,3596,30.5,11792,3839,589,1881,6309,1363,2405,1715,5483,4554,16280,120,4431,3,15883,394,3,0,256,3,6,4281,8,0,856,3,19,15366,36,493,4058,4058,1887,3,14390,38,0,1,0,0,0,0,0,0,162,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
6,1,San José,106,Aserrí,Aserrí,,False,False,San José_Aserrí_Tarbaca,195,6848,22569,25042,75,300,636,2227,48,1791,6446,6950,7,92,167,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17038,93.7,1084,6,54,0,18176,17038,911,0,17949,0,173,54,227,20970,57.9,4481,12.4,10765,29.7,36216,20692,2520,4852,28064,278,1961,5913,8152,16127,57892,205,15915,7,57130,687,75,393,150,7,55,15396,126,1451,455,75,150,55274,487,2504,13616,13616,9188,75,48629,0,88,54,0,0,0,1,0,0,0,0,0,18,0,0,23,1,0,0,0,2,1,0,1,0,0,3,0,0,0,0,0,0,0
7,1,San José,107,Mora,Mora,,False,False,San José_Mora_Guayabo,65,13532,72,11092,17,190,420,906,21,3989,20,3279,4,64,131,278,6187,68.13876652,0,31.86123348,0,0,9080,6187,2893,0,9080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8082,57.2,4350,30.8,1693,12,14125,7367,1713,0,9080,715,2637,1693,5045,7786,26294,119,7663,4,25939,338,17,410,133,4,36,7183,20,1164,431,17,67,24552,63,1875,5907,5907,6254,17,20023,359,3409,895,0,1,0,401,279,0,322,63,0,73,0,5,64,11,0,1,3,6,3,4,8,1,0,38,0,0,0,0,0,0,0
8,1,San José,108,Goicoechea,Goicoechea,,True,True,San José_Goicoechea_San Francisco,13,113358,6,696,415,219,251,126,6,32199,2,168,35,51,60,34,2317,100,0,0,0,0,2317,2317,0,0,2317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,59.1,0,0,461,40.9,1126,665,0,0,665,0,0,461,461,32555,115084,105,32415,35,114280,389,415,21392,213,35,25,10166,724,73595,913,415,85,37056,3020,1825,30695,30695,6475,415,108194,183,4116,5,0,362,0,1016,0,0,0,0,0,6,0,2,54,4,0,2,0,9,0,0,0,0,0,14,0,0,0,0,0,0,0
9,1,San José,109,Santa Ana,Santa Ana,,True,True,San José_Santa Ana_Salitral,41,46217,50,552,306,215,1031,711,15,13516,13,142,32,73,278,198,21814,100,0,0,0,0,21814,21814,0,0,21814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,78.2,0,0,271,21.8,1241,970,0,271,1241,0,0,0,0,14267,49123,131,14104,32,48426,391,306,2105,60,32,28,11896,146,6940,246,306,66,40951,614,4672,9563,9563,15731,306,33086,487,15354,1439,0,153,213,1780,601,226,1351,151,0,14,0,8,252,22,0,1,4,18,4,4,26,2,0,46,0,0,0,0,0,0,0
10,1,San José,110,Alajuelita,Alajuelita,,True,True,San José_Alajuelita_San Josecito,5,73921,66,2009,84,251,250,1017,3,18873,20,530,20,78,65,263,3159,83.77088305,0,16.22911695,0,0,3771,2684,0,0,2684,475,612,0,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,44.7,1299,55.3,2349,0,0,1299,1299,0,1050,0,1050,19852,77603,265,19567,20,76537,982,84,10462,124,20,39,8698,509,41729,525,84,117,33045,2103,2017,17815,17815,7660,84,69859,0,564,120,0,0,0,0,0,0,0,0,0,184,0,0,17,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
