Código,Región,Consumo promedio mensual m3,Consumo diario en litros
10101,Región Central,5.45,181.666666667
10102,Región Central,5.45,181.666666667
10103,Región Central,5.45,181.666666667
10104,Región Central,5.45,181.666666667
10105,Región Central,5.45,181.666666667
10106,Región Central,5.45,181.666666667
10107,Región Central,5.45,181.666666667
10108,Región Central,5.45,181.666666667
10109,Región Central,5.45,181.666666667
10110,Región Central,5.45,181.666666667
10111,Región Central,5.45,181.666666667
10201,Región Central,5.45,181.666666667
10202,Región Central,5.45,181.666666667
10203,Región Central,5.45,181.666666667
10301,Región Central,5.45,181.666666667
10302,Región Central,5.45,181.666666667
10303,Región Central,5.45,181.666666667
10304,Región Central,5.45,181.666666667
10305,Región Central,5.45,181.666666667
10306,Región Central,5.45,181.666666667
10307,Región Central,5.45,181.666666667
10308,Región Central,5.45,181.666666667
10309,Región Central,5.45,181.666666667
10310,Región Central,5.45,181.666666667
10311,Región Central,5.45,181.666666667
10312,Región Central,5.45,181.666666667
10313,Región Central,5.45,181.666666667
10401,Región Central,5.45,181.666666667
10402,Región Central,5.45,181.666666667
10403,Región Central,5.45,181.666666667
10404,Región Central,5.45,181.666666667
10405,Región Central,5.45,181.666666667
10406,Región Central,5.45,181.666666667
10407,Región Central,5.45,181.666666667
10408,Región Central,5.45,181.666666667
10409,Región Central,5.45,181.666666667
10501,Región Central,5.45,181.666666667
10502,Región Central,5.45,181.666666667
10503,Región Central,5.45,181.666666667
10601,Región Central,5.45,181.666666667
10602,Región Central,5.45,181.666666667
10603,Región Central,5.45,181.666666667
10604,Región Central,5.45,181.666666667
10605,Región Central,5.45,181.666666667
10606,Región Central,5.45,181.666666667
10607,Región Central,5.45,181.666666667
10701,Región Central,5.45,181.666666667
10702,Región Central,5.45,181.666666667
10703,Región Central,5.45,181.666666667
10704,Región Central,5.45,181.666666667
10705,Región Central,5.45,181.666666667
10801,Región Central,5.45,181.666666667
10802,Región Central,5.45,181.666666667
10803,Región Central,5.45,181.666666667
10804,Región Central,5.45,181.666666667
10805,Región Central,5.45,181.666666667
10806,Región Central,5.45,181.666666667
10807,Región Central,5.45,181.666666667
10901,Región Central,5.45,181.666666667
10902,Región Central,5.45,181.666666667
10903,Región Central,5.45,181.666666667
10904,Región Central,5.45,181.666666667
10905,Región Central,5.45,181.666666667
10906,Región Central,5.45,181.666666667
11001,Región Central,5.45,181.666666667
11002,Región Central,5.45,181.666666667
11003,Región Central,5.45,181.666666667
11004,Región Central,5.45,181.666666667
11005,Región Central,5.45,181.666666667
11101,Región Central,5.45,181.666666667
11102,Región Central,5.45,181.666666667
11103,Región Central,5.45,181.666666667
11104,Región Central,5.45,181.666666667
11105,Región Central,5.45,181.666666667
11201,Región Central,5.45,181.666666667
11202,Región Central,5.45,181.666666667
11203,Región Central,5.45,181.666666667
11204,Región Central,5.45,181.666666667
11205,Región Central,5.45,181.666666667
11301,Región Central,5.45,181.666666667
11302,Región Central,5.45,181.666666667
11303,Región Central,5.45,181.666666667
11304,Región Central,5.45,181.666666667
11305,Región Central,5.45,181.666666667
11401,Región Central,5.45,181.666666667
11402,Región Central,5.45,181.666666667
11403,Región Central,5.45,181.666666667
11501,Región Central,5.45,181.666666667
11502,Región Central,5.45,181.666666667
11503,Región Central,5.45,181.666666667
11504,Región Central,5.45,181.666666667
11601,Región Central,5.45,181.666666667
11602,Región Central,5.45,181.666666667
11603,Región Central,5.45,181.666666667
11604,Región Central,5.45,181.666666667
11605,Región Central,5.45,181.666666667
11701,Región Central,5.45,181.666666667
11702,Región Central,5.45,181.666666667
11703,Región Central,5.45,181.666666667
11801,Región Central,5.45,181.666666667
11802,Región Central,5.45,181.666666667
11803,Región Central,5.45,181.666666667
11804,Región Central,5.45,181.666666667
11901,Región Brunca,5.36,178.666666667
11902,Región Brunca,5.36,178.666666667
11903,Región Brunca,5.36,178.666666667
11904,Región Brunca,5.36,178.666666667
11905,Región Brunca,5.36,178.666666667
11906,Región Brunca,5.36,178.666666667
11907,Región Brunca,5.36,178.666666667
11908,Región Brunca,5.36,178.666666667
11909,Región Brunca,5.36,178.666666667
11910,Región Brunca,5.36,178.666666667
11911,Región Brunca,5.36,178.666666667
12001,Región Central,5.45,181.666666667
12002,Región Central,5.45,181.666666667
12003,Región Central,5.45,181.666666667
12004,Región Central,5.45,181.666666667
12005,Región Central,5.45,181.666666667
12006,Región Central,5.45,181.666666667
20101,Región Central,5.45,181.666666667
20102,Región Central,5.45,181.666666667
20103,Región Central,5.45,181.666666667
20104,Región Central,5.45,181.666666667
20105,Región Central,5.45,181.666666667
20106,Región Central,5.45,181.666666667
20107,Región Central,5.45,181.666666667
20108,Región Central,5.45,181.666666667
20109,Región Central,5.45,181.666666667
20110,Región Central,5.45,181.666666667
20111,Región Central,5.45,181.666666667
20112,Región Central,5.45,181.666666667
20113,Región Central,5.45,181.666666667
20114,Región Huetar Norte,5.14,171.333333333
20201,Región Central,5.45,181.666666667
20202,Región Central,5.45,181.666666667
20203,Región Central,5.45,181.666666667
20204,Región Central,5.45,181.666666667
20205,Región Central,5.45,181.666666667
20206,Región Central,5.45,181.666666667
20207,Región Huetar Norte,5.14,171.333333333
20208,Región Central,5.45,181.666666667
20209,Región Central,5.45,181.666666667
20210,Región Central,5.45,181.666666667
20211,Región Central,5.45,181.666666667
20212,Región Central,5.45,181.666666667
20213,Región Central,5.45,181.666666667
20301,Región Central,5.45,181.666666667
20302,Región Central,5.45,181.666666667
20303,Región Central,5.45,181.666666667
20304,Región Central,5.45,181.666666667
20305,Región Central,5.45,181.666666667
20306,Región Huetar Norte,5.14,171.333333333
20307,Región Central,5.45,181.666666667
20308,Región Central,5.45,181.666666667
20401,Región Pacífico Central,5.56,185.333333333
20402,Región Pacífico Central,5.56,185.333333333
20403,Región Pacífico Central,5.56,185.333333333
20501,Región Central,5.45,181.666666667
20502,Región Central,5.45,181.666666667
20503,Región Central,5.45,181.666666667
20504,Región Central,5.45,181.666666667
20505,Región Central,5.45,181.666666667
20506,Región Central,5.45,181.666666667
20507,Región Central,5.45,181.666666667
20508,Región Central,5.45,181.666666667
20601,Región Central,5.45,181.666666667
20602,Región Central,5.45,181.666666667
20603,Región Central,5.45,181.666666667
20604,Región Central,5.45,181.666666667
20605,Región Central,5.45,181.666666667
20606,Región Central,5.45,181.666666667
20607,Región Central,5.45,181.666666667
20608,Región Central,5.45,181.666666667
20701,Región Central,5.45,181.666666667
20702,Región Central,5.45,181.666666667
20703,Región Central,5.45,181.666666667
20704,Región Central,5.45,181.666666667
20705,Región Central,5.45,181.666666667
20706,Región Central,5.45,181.666666667
20707,Región Central,5.45,181.666666667
20801,Región Central,5.45,181.666666667
20802,Región Central,5.45,181.666666667
20803,Región Central,5.45,181.666666667
20804,Región Central,5.45,181.666666667
20805,Región Central,5.45,181.666666667
20901,Región Pacífico Central,5.56,185.333333333
20902,Región Pacífico Central,5.56,185.333333333
20903,Región Pacífico Central,5.56,185.333333333
20904,Región Pacífico Central,5.56,185.333333333
20905,Región Pacífico Central,5.56,185.333333333
21001,Región Huetar Norte,5.14,171.333333333
21002,Región Huetar Norte,5.14,171.333333333
21003,Región Huetar Norte,5.14,171.333333333
21004,Región Huetar Norte,5.14,171.333333333
21005,Región Huetar Norte,5.14,171.333333333
21006,Región Huetar Norte,5.14,171.333333333
21007,Región Huetar Norte,5.14,171.333333333
21008,Región Huetar Norte,5.14,171.333333333
21009,Región Huetar Norte,5.14,171.333333333
