codigo,nombre,poblacion
10101,Carmen,2702
10102,Merced,12257
10103,Hospital,19270
10104,Catedral,12936
10105,Zapote,18679
10106,San Francisco de Dos Ríos,20209
10107,Uruca,31728
10108,Mata Redonda,8313
10109,Pavas,71384
10110,Hatillo,50511
10111,San Sebastián,40065
10201,Escazú,11984
10202,San Antonio,22554
10203,San Rafael,21971
10301,Desamparados,33866
10302,San Miguel,31805
10303,San Juan de Dios,19481
10304,San Rafael Arriba,15262
10305,San Antonio,9727
10306,Frailes,3772
10307,Patarrá,11921
10308,San Cristóbal,3905
10309,Rosario,3088
10310,Damas,13175
10311,San Rafael Abajo,23283
10312,Gravilias,15024
10313,Los Guido,24102
10401,Santiago,11512
10402,Mercedes Sur,5866
10403,Barbacoas,3692
10404,Grifo Alto,1182
10405,San Rafael,1730
10406,Candelarita,1436
10407,Desamparaditos,666
10408,San Antonio,3889
10409,Chires,3031
10501,San Marcos,9993
10502,San Lorenzo,4394
10503,San Carlos,1893
10601,Aserrí,28191
10602,Tarbaca,1446
10603,Vuelta de Jorco,6499
10604,San Gabriel,6061
10605,Legua,1521
10606,Monterrey,498
10607,Salitrillos,13676
10701,Colón,16088
10702,Guayabo,4449
10703,Tabarcia,4703
10704,Piedras Negras,379
10705,Picagres,675
10801,Guadalupe,20663
10802,San Francisco,2032
10803,Calle Blancos,18984
10804,Mata de Plátano,17370
10805,Ipís,26033
10806,Rancho Redondo,2538
10807,Purral,27464
10901,Santa Ana,11320
10902,Salitral,4304
10903,Pozos,15585
10904,Uruca,7200
10905,Piedades,8128
10906,Brasil,2586
11001,Alajuelita,11988
11002,San Josecito,10506
11003,San Antonio,4739
11004,Concepción,18721
11005,San Felipe,31649
11101,San Isidro,16625
11102,San Rafael,7040
11103,Dulce Nombre de Jesús,9744
11104,Patalillo,20349
11105,Cascajal,6728
11201,San Ignacio,9016
11202,Guaitil,2406
11203,Palmichal,4581
11204,Cangrejal,1875
11205,Sabanillas,2331
11301,San Juan,21745
11302,Cinco Esquinas,5925
11303,Anselmo Llorente,9986
11304,León XIII,13661
11305,Colima,13525
