num_pozo,empresa,propietario,propietariotel,propietariofax,propietariopostal,propietarioemail,propietariodirec,agua uso,Uso del agua agregado,caudal,direcpozo,profundidad,sperfora,captar,hojacarto,latitud,longitud,altitud,provincia,canton,distrito,lugar,fechaap
AB-1,SIN DATO,VALENTIN MENDEZ,,,,,,DOMESTICO,Consumo humano,0.50,,5.00,EXCAVADO,Colima y Barva,ABRA,216680,531060,1149.4,1,114,11401,SAN RAFAEL,1968-10-23
AB-10,COSTARRICENSE S.A.,I.C.E.,,,,,,DOMESTICO,Consumo humano,0.50,,35.96,,Colima y Barva,ABRA,214735,526390,1100.00,1,101,10107,COLIMA,1968-05-20
AB-100,SENARA,,,,,,,DOMESTICO,Consumo humano,0.50,,30.48,,Colima y Barva,ABRA,212780,521480,1050.00,1,102,10203,S. RAF.ESCAZU,1968-07-03
AB-1000,HIDROMAQ S.A.,JACK MELVIN LISTON GOODINE,,,,,,DOMESTICO,Consumo humano,1.60,,55.00,PERCUSION,Colima y Barva,ABRA,217100,510100,820.00,2,201,20105,LA GUACIMA,1986-10-22
AB-1001,LATINA S.A.,BENEFICIO MONTEALEGRE,,,,,,ABAST. PUBLICO,Consumo humano,7.00,,150.00,ROTACION,Colima y Barva,ABRA,218620,527100,,4,403,40302,SAN VICENTE,1993-01-25
AB-1002,,AYA,,,,,,ABAST. PUBLICO,Consumo humano,40.00,,170.00,,Colima y Barva,ABRA,217300,525460,1105.00,4,403,40306,LA VALENCIA,1986-01-01
AB-1003,AGROPOZO,A?IWAPIE S.A,,,,,,DOMESTICO,Consumo humano,5.00,,48.00,PERCUSION,Colima y Barva,ABRA,213390,529870,,1,115,11501,BARRIO DENT,1986-11-07
AB-1004,HIDROMAQ S.A.,JUAN BAUTISTA PEREZ VALVERDE,,,,,,DOMESTICO,Consumo humano,0.50,,30.00,PERCUSION,Colima y Barva,ABRA,214150,533500,1300.00,1,115,11502,EL CRISTO,1986-11-12
AB-1005,COSTARRICENSE S.A.,A.DES.INT.DE CUCUBRES,,,,,,DOMESTICO,Consumo humano,0.90,,32.00,PERCUSION,G Abra R Grande,ABRA,204450,528000,,1,106,10607,CUCUBRES,1986-11-12
AB-1006,ROYPE S.A.,ELIAS REIFER,,,,,,DOMESTICO,Consumo humano,1.00,,40.00,,Colima y Barva,ABRA,212900,511250,,1,109,10906,BRASIL,1986-11-13
AB-1007,HIDROMAQ S.A.,GARRET DE COSTA RICA,,,,,,DOMESTICO,Consumo humano,0.50,,18.00,PERCUSION,G Abra R Grande,ABRA,209400,521800,,1,102,10202,SAN ANTONIO,1986-11-14
AB-1008,COSTARRICENSE S.A.,INVERSIONES PALMETO LTDA,,,,,,VARIOS,Otros,5.00,,150.00,PERCUSION,Colima y Barva,ABRA,215810,511750,,2,201,20108,OJO DE AGUA,1986-11-22
AB-1009,SIN DATO,GLADYS CASTRO ESCALANTE,,,,,,DOMESTICO,Consumo humano,10.00,,30.00,,Colima y Barva,ABRA,212730,513210,,1,109,10905,LA CARANA,1986-12-11
AB-101,COSTARRICENSE S.A.,RICHARD JOHNSON,,,,,,DOMESTICO,Consumo humano,0.76,,30.48,PERCUSION,Colima y Barva,ABRA,212360,522800,1070.00,1,102,10203,BELLO HORIZONTE,1968-05-10
AB-1010,AGROPOZO,JOSE RAMIREZ GONZALEZ,,,,,,VARIOS,Otros,1.00,,48.00,PERCUSION,Colima y Barva,ABRA,212380,515950,,1,109,10901,SANTA ANA,1987-05-05
AB-1011,AGROPOZO,JOSE RAMIREZ G,,,,,,DOMESTICO,Consumo humano,5.00,,50.00,PERCUSION,Colima y Barva,ABRA,212430,515920,,1,109,10901,SANTA ANA,1986-12-11
AB-1012,SIN DATO,LA MELISA DE OJO DE AGUA,,,,,,RIEGO,Agroganadería,2.00,,60.00,PERCUSION,Colima y Barva,ABRA,216850,511300,,2,201,20108,OJO DE AGUA,1986-12-15
AB-1013,AGROPOZO,CARLOS EDO. CASTILLO ARROYO,,,,,,DOMESTICO,Consumo humano,0.50,,30.00,PERCUSION,Colima y Barva,ABRA,218310,511270,,2,201,20105,RINCON DE MONGE,1986-12-15
AB-1014,SIN DATO,PAFELSO,,,,,,AGROINDUSTRIAL,Industrial y comercial,1.58,,60.00,PERCUSION,Colima y Barva,ABRA,213450,515700,,1,109,10901,SANTA ANA,1986-12-18
AB-1015,HIDROGEOCONSULTA,PIADURE S.A,,,,,,TURISTICO,Turismo,1.58,,91.00,PERCUSION,Colima y Barva,ABRA,217950,513950,,2,201,20108,SAN ANTONIO,1986-12-18
AB-1016,COSTARRICENSE S.A.,JAIME DIBOS CUMBERLEGE,,,,,,DOMESTICO,Consumo humano,0.63,,60.00,PERCUSION,G Abra R Grande,ABRA,211240,522400,,1,102,10202,BELLO HORIZONTE,1986-12-18
AB-1017,COSTARRICENSE S.A.,AKRON,,,,,,INDUSTRIAL,Industrial y comercial,3.80,,90.00,PERCUSION,Colima y Barva,ABRA,216400,515250,,1,109,10903,HONDURAS,1986-12-18
AB-1018,COSTARRICENSE S.A.,CONDOMINIO COLIMAR S.A,,,,,,DOMESTICO,Consumo humano,1.60,,49.00,PERCUSION,Colima y Barva,ABRA,215750,530600,,1,114,11401,LLORENTE,1986-12-18
AB-1019,COSTARRICENSE S.A.,CARLOS ECHEVERRIA PEREIRA,,,,,,DOMESTICO,Consumo humano,0.50,,50.00,PERCUSION,G Abra R Grande,ABRA,210150,533750,,1,118,11803,CURRIDABAT,1986-12-18
AB-102,COSTARRICENSE S.A.,TENNIS CLUB,,,,,,DOMESTICO,Consumo humano,0.44,,45.72,PERCUSION,Colima y Barva,ABRA,212760,525362,1137.00,1,101,10108,TENNIS CLUB,1968-05-15
AB-1020,COSTARRICENSE S.A.,ALFARERIA EL GALLO,,,,,,INDUSTRIAL,Industrial y comercial,1.90,,60.00,PERCUSION,G Abra R Grande,ABRA,209050,531400,1100.00,1,103,10310,SAN ANTONIO,1986-12-17
AB-1021,COSTARRICENSE S.A.,ALFARERIA EL GALLO,,,,,,INDUSTRIAL,Industrial y comercial,0.60,,63.00,PERCUSION,G Abra R Grande,ABRA,209040,531390,,1,103,10310,SAN ANTONIO,1986-12-17
AB-1022,COSTARRICENSE S.A.,CLUB UNION,,,,,,DOMESTICO,Consumo humano,1.50,,60.00,PERCUSION,Colima y Barva,ABRA,213225,527625,,1,101,10102,EL CARMEN,1987-01-05
AB-1023,COSTARRICENSE S.A.,EL GALLITO INSDUSTRIAL,,,,,,INDUSTRIAL,Industrial y comercial,,,150.50,PERCUSION,Colima y Barva,ABRA,219300,529800,,4,403,40307,SAN MIGUEL NORT,1987-01-05
AB-1024,HIDROMAQ S.A.,EMBUTIDOS ZARAGOZA,,,,,,INDUSTRIAL,Industrial y comercial,1.07,,30.00,PERCUSION,Colima y Barva,ABRA,219850,511100,,2,201,20104,EL TEJAR,1987-02-23
AB-1025,SIN DATO,AYA,,,,,,ABAST. PUBLICO,Consumo humano,9.50,,160.00,ROTACION,Colima y Barva,ABRA,220050,520300,,4,401,40103,CALLE CHUCOS,1987-01-07
AB-1026,,AYA,,,,,,ABAST. PUBLICO,Consumo humano,9.50,,185.00,ROTACION,Colima y Barva,ABRA,216900,521210,,4,401,40104,CARIARI-ARCOS,1985-12-09
AB-1027,PACO S.A.,PERRY OWEN KEENE III,,,,,,DOMESTICO,Consumo humano,0.50,,50.00,PERCUSION,G Abra R Grande,ABRA,211400,522500,,1,102,10202,SAN RAFAEL,1987-03-12
AB-1028,AGROPOZO,ASO-PROVIVIENDA MATA PLATANO,,,,,,DOMESTICO,Consumo humano,1.50,,70.00,PERCUSION,Colima y Barva,ABRA,215170,534750,,1,108,10804,EL CARMEN,1987-04-24
AB-1029,COSTARRICENSE S.A.,MARIO RIVERA MATA,,,,,,DOMESTICO,Consumo humano,0.57,,50.00,PERCUSION,Colima y Barva,ABRA,213370,515500,,1,109,10901,BRASIL,1987-08-16
AB-103,POZOS LTDA,ESSO,,,,,,DOMESTICO,Consumo humano,0.69,,28.95,PERCUSION,Colima y Barva,ABRA,212272,526170,1140.00,1,101,10103,PLANTEL ESSO,1968-05-14
AB-1030,AGROPOZO,QUINTAS DEL SUR,,,,,,DOMESTICO,Consumo humano,2.00,,50.00,PERCUSION,G Abra R Grande,ABRA,203760,530250,,1,103,10302,SAN MIGUEL,1987-02-02
AB-1031,AGROPOZO,QUINTAS DEL SUR S.A,,,,,,DOMESTICO,Consumo humano,2.00,,50.00,PERCUSION,G Abra R Grande,ABRA,203850,530350,,1,103,10302,SAN MIGUEL,1987-02-02
AB-1032,RIEGO Y POZOS,JOAQUIN B.MASIS JIMENEZ,,,,,,ABREVADERO,Agroganadería,1.50,,100.00,PERCUSION,Colima y Barva,ABRA,217080,514370,,2,201,20108,SAN RAFAEL,1987-02-10
AB-1033,HIDROMAQ S.A.,ANTONIO RETANA,,,,,,DOMESTICO,Consumo humano,0.90,,45.00,PERCUSION,Colima y Barva,ABRA,212400,509600,,1,107,10701,BRASIL,1987-02-23
AB-1034,AGROPOZO,STANLEY HEIL,,,,,,DOMESTICO,Consumo humano,1.00,,51.00,PERCUSION,Colima y Barva,ABRA,213400,518750,,1,102,10203,SANTA ANA,1987-05-16
AB-1035,CIMCO,AyA,,,,,,ABAST. PUBLICO,Consumo humano,9.50,,200.00,ROTACION,Colima y Barva,ABRA,218800,521630,1070.00,4,401,40104,LA CARPINTERA,1987-01-12
AB-1036,HIDROMAQ S.A.,ORDEN DE FRAILES < CONVENTUALE,,,,,,DOMESTICO,Consumo humano,1.90,,50.00,PERCUSION,Colima y Barva,ABRA,218200,514700,,2,201,20108,OJO DE AGUA,1987-08-03
AB-1037,RIEGO Y POZOS,DAVID KOGEL GONZALEZ,,,,,,RIEGO,Agroganadería,5.00,,80.00,PERCUSION,Colima y Barva,ABRA,215900,510900,,2,201,20108,HDA OJO DE AGUA,1987-02-09
AB-1038,AQUASUB,OBSIDIANA S.A,,,,,,RIEGO,Agroganadería,,,35.00,,G Abra R Grande,ABRA,211620,521150,1101.00,1,102,10201,ESCAZU,1987-02-12
AB-1039,HIDROMAQ S.A.,LA NELA S.A,,,,,,VARIOS,Otros,,,50.00,,Colima y Barva,ABRA,218650,530800,,4,403,40303,SAN MIGUEL SUR,1987-02-13
AB-104,COSTARRICENSE S.A.,CONSEJO. NAC. PRODUCCION,,,,,,DOMESTICO,Consumo humano,0.94,,36.58,PERCUSION,Colima y Barva,ABRA,212650,525840,1140.00,1,101,10103,"C.36, AVS10,24",1967-06-28
AB-1040,SIN DATO,UNIVERSIDAD DE COSTA RICA,,,,,,DOMESTICO,Consumo humano,2.00,,103.00,PERCUSION,Colima y Barva,ABRA,213700,531600,1200.00,1,115,11501,CIUDAD UNIVERSITARIA,1987-05-28
AB-1041,COSTARRICENSE S.A.,ALUMINIOS POZUELO,,,,,,DOMESTICO,Consumo humano,0.63,,70.00,PERCUSION,Colima y Barva,ABRA,215505,517330,1000.00,1,102,10203,GUACHIPELIN,1987-02-17
AB-1042,SIN DATO,ELI FERNANDEZ,,,,,,DOMESTICO,Consumo humano,2.00,,28.50,,Colima y Barva,ABRA,213400,511475,800.00,1,109,10906,BRASIL,1987-02-17
AB-1043,COSTARRICENSE S.A.,SALOMON AIZEMAN PINCHANSKI,,,,,,DOMESTICO,Consumo humano,1.89,,30.00,PERCUSION,Colima y Barva,ABRA,213200,511300,,1,109,10906,BRASIL,1987-02-17
AB-1044,SIN DATO,LLERRY OBANDO MU?OZ,,,,,,DOMESTICO,Consumo humano,5.00,,40.00,PERCUSION,Colima y Barva,ABRA,215500,515850,,1,109,10903,POZOS,1987-02-21
AB-1045,RIERA & CO,JOSEFA ARGELI VILLALOBOS SEGUR,,,,,,DOMESTICO,Consumo humano,1.00,,50.00,PERCUSION,Colima y Barva,ABRA,219800,511550,,2,201,20104,SAN ANTONIO,1987-02-26
AB-1046,COSTARRICENSE S.A.,MARIO BRENES CORTES,,,,,,DOMESTICO,Consumo humano,2.00,,90.00,PERCUSION,Colima y Barva,ABRA,213160,514390,,1,109,10904,RIO ORO,1987-03-02
AB-1047,WILLIAM RAMOS ROBLES,ALVARO CASTRO ACU?A,,,,,,DOMESTICO,Consumo humano,0.50,,30.00,PERCUSION,Colima y Barva,ABRA,213100,516275,,1,109,10901,SANTA ANA,1987-03-06
AB-1048,HIDROMAQ S.A.,JAMES EDWARSDIBOS CAMBEELEGE,,,,,,DOMESTICO,Consumo humano,0.50,,30.00,PERCUSION,G Abra R Grande,ABRA,210300,518300,,1,109,10902,ESCAZU,1987-03-11
AB-1049,COSTARRICENSE S.A.,PROD PLASTICOS SIRENA LTDA,,,,,,DOMESTICO,Consumo humano,0.75,,90.00,PERCUSION,Colima y Barva,ABRA,216750,528350,,1,113,11301,LINDA VISTA,1987-03-12
AB-105,COSTARRICENSE S.A.,BARZUNA HERMANOS,,,,,,DOMESTICO,Consumo humano,0.44,,45.72,PERCUSION,Colima y Barva,ABRA,212272,526170,1140.00,1,101,10103,CORAZON DE JESUS,1968-05-15
AB-1050,PACO S.A.,ORLANDO PINO MORA,,,,,,DOMESTICO,Consumo humano,0.50,,40.00,PERCUSION,Colima y Barva,ABRA,212500,517350,,1,109,10901,BARRIO VASQUEZ,1987-03-12
AB-1051,AGROPOZO,FEDERACINON INDUSTRIAL ATALNT.,,,,,,DOMESTICO,Consumo humano,0.50,,52.00,PERCUSION,G Abra R Grande,ABRA,208950,523950,1120.00,1,110,11005,PALO CAMPANO,1987-06-03
AB-1052,AGROPOZO,CARLOS BECERRIL SABORIO,,,,,,DOMESTICO,Consumo humano,0.50,,50.00,PERCUSION,Colima y Barva,ABRA,213045,515710,873.00,1,109,10901,RADIAL SANTA A,1987-03-12
AB-1053,ROYPE S.A.,RAICES FRUTALES,,,,,,DOMESTICO,Consumo humano,0.62,,26.00,PERCUSION,Colima y Barva,ABRA,212450,519100,1100.00,1,102,10203,SAN RAFAEL,1987-03-18
AB-1054,SIN DATO,CLARA MORALES,,,,,,DOMESTICO,Consumo humano,0.50,,35.00,,Colima y Barva,ABRA,212300,512280,960.00,1,109,10905,,1987-03-13
