codigo,provincia,canton,caudal,caudal humano,caudal agroganaderia,caudal industrial,caudal turismo,caudal otros,pozos
61101,6,611,656.23,362.56,91.98,44.00,135.69,19.00,191
61102,6,611,424.68,183.44,156.89,0,83.35,0.00,183
10109,1,101,38.18,12.50,0,25.68,0,0,26
10108,1,101,20.99,9.10,3,5.30,0,3.59,17
10105,1,101,139.37,119.42,0,19.95,0,0,25
10104,1,101,57.66,27.44,0,20.22,0,10,40
10107,1,101,182.55,153.13,0,29.42,0,0,34
10106,1,101,40.49,15.53,1.00,23.96,0,0,23
10101,1,101,59.65,46.00,0,4.33,9.32,0,32
10103,1,101,67.75,32.04,0,25.61,0.10,10.00,39
10102,1,101,20.49,17.80,0,0.80,1.89,0,26
11605,1,116,24.00,1.00,23.00,0,0,0,4
60601,6,606,230.83,144.57,19.26,63.00,4.00,0,74
60603,6,606,41.50,24.50,4.00,0,13.00,0,18
60602,6,606,86.76,43.26,17.25,4.60,21.65,0,49
21404,2,214,33.10,26.10,7.00,0,0,0,8
21401,2,214,262.56,163.29,83.72,12.80,2.75,0,64
21402,2,214,2.50,2.50,0,0,0,0,2
21403,2,214,72.58,21.88,33.00,12.50,0,2.20,22
40702,4,407,274.86,143.07,3.08,124.21,0,4.50,53
40703,4,407,292.92,197.91,6.00,76.44,11.00,1.57,62
40701,4,407,471.31,449.16,9.15,13.00,0,0.00,35
10202,1,102,98.46,66.20,22.78,6.33,0,3.15,92
10203,1,102,178.41,103.51,27.98,27.56,15.86,3.50,121
10201,1,102,69.80,57.84,9.21,2.75,0,0,73
30511,3,305,0.50,0.50,0,0,0,0,1
30109,3,301,274.21,237.49,16.60,20.12,0,0.00,39
30108,3,301,1.05,1.05,0,0,0,0,2
10804,1,108,13.57,13.57,0,0,0,0,10
10805,1,108,6.00,4.00,0,2.00,0,0,6
30105,3,301,191.01,141.23,17.76,26.42,5,0.60,52
30104,3,301,125.45,61.50,12.11,45.84,0,6,56
30103,3,301,9.78,6.78,0,0,0,0,6
10801,1,108,19.33,14.78,0,4.55,0,0,16
10802,1,108,15.76,2.00,0,6.50,7.26,0,9
10803,1,108,100.52,37.00,0,63.52,0,0,36
40203,4,402,36.00,34.00,2,0,0,0,8
40202,4,402,8.80,1.80,1.00,0,0,6.00,5
40201,4,402,10.00,10.00,0,0,0,0,2
21102,2,211,24.19,0,19.44,4.25,0,0,11
21105,2,211,29.45,1.75,16.20,3.50,0,0,16
40206,4,402,41.47,15.30,15.21,10.96,0,0.00,20
40205,4,402,50.60,49.00,0,1.60,0,0,6
40204,4,402,6.50,6.50,0,0,0,0,5
60504,6,605,177.84,83.87,18.62,3.00,68.35,4.00,119
60505,6,605,5.20,3.20,0,0,0,0,2
60502,6,605,184.29,80.54,2.00,100.75,0.5,0.50,27
60503,6,605,26.98,21.98,0,0,0,5.00,3
60501,6,605,42.73,17.88,12.75,0,12.10,0,29
20213,2,202,18.15,4.60,4.75,3.00,3.80,2.00,9
20210,2,202,3.50,3.50,0,0,0,0,3
20211,2,202,2.6,1,0,1.6,0,0,2
30602,3,306,9.50,9.50,0,0,0,0,2
10703,1,107,2.00,2.00,0,0,0,0,2
10702,1,107,0.50,0.50,0,0,0,0,3
10701,1,107,182.56,139.77,25.59,11.45,4.50,1.25,136
10705,1,107,7.42,3.42,2.00,2.00,0,0,4
10704,1,107,4.12,1.62,0,0,2.5,0,4
11901,1,119,18.45,13.95,0.50,3.00,1,0,13
21202,2,212,6.00,5.00,1.00,0,0,0,4
21201,2,212,13.55,5.05,6.50,2.00,0,0,4
21204,2,212,4.50,4.50,0,0,0,0,3
21205,2,212,5.89,0,5.89,0,0,0,2
11003,1,110,10.62,5.70,4.92,0,0,0,10
11001,1,110,2.00,2.00,0,0,0,0,1
11005,1,110,1.55,1.55,0,0,0,0,4
11004,1,110,0.50,0.50,0,0,0,0,1
11907,1,119,3.00,3.00,0,0,0,0,1
50901,5,509,64.38,50.88,13.00,0,0,0.50,18
50903,5,509,33.86,19.93,6.53,0,4.50,2.90,29
50902,5,509,163.76,22.01,119.75,0,0,22.00,46
50905,5,509,0.05,0.05,0,0,0,0,1
50904,5,509,437.48,123.68,306.00,7.80,0,0,65
50906,5,509,221.79,123.54,68.75,2.00,25.60,0.90,154
12001,1,120,2.00,0,2.00,0,0,0,1
30204,3,302,1.30,0,1.30,0,0,0,1
11403,1,114,40.29,28.19,4.10,8.00,0,0,15
11402,1,114,32.63,21.03,9.60,0,0,2.00,26
11401,1,114,86.91,80.65,1.00,5.26,0,0,32
40801,4,408,272.62,87.29,2.50,179.67,3.16,0,27
11604,1,116,1.00,1.00,0,0,0,0,1
40803,4,408,82.61,55.96,0,26.65,0,0,20
40802,4,408,103.56,86.18,13.10,4.28,0,0,25
51103,5,511,85.79,32.76,22.93,1.00,9.60,19.50,48
30202,3,302,26.96,1.00,16.68,1.13,0,5.00,12
20701,2,207,42.77,22.12,11.50,9.15,0,0,30
20702,2,207,149.74,90.50,34.40,21.44,0,3.40,79
51101,5,511,89.22,66.37,13.45,0,2.4,7.00,50
20704,2,207,24.00,19.50,4.50,0,0,0,8
20705,2,207,13.50,11.50,2.00,0,0,0,7
20706,2,207,55.25,16.70,23.05,11.50,0,4.00,39
20707,2,207,83.05,58.79,22.68,1.58,0,0,47
30802,3,308,32.59,15.28,12.88,4.00,0,0.43,21
30803,3,308,5.96,2.80,0,3.16,0,0,3
30801,3,308,224.30,86.11,99.21,38.23,0,0.25,76
50704,5,507,186.18,129.59,13.70,42.89,0,0,78
50703,5,507,59.04,4.50,49.36,2.30,0,2.88,17
50701,5,507,110.50,70.27,29.35,10.57,0,0.31,45
51002,5,510,10.45,10.45,0,0,0,0,6
51001,5,510,220.34,159.70,34.85,0.20,16.09,9.50,98
11301,1,113,10.56,5.67,0,4.89,0,0,11
11302,1,113,8.21,6.21,0,2.00,0,0,4
11303,1,113,13.40,12.10,1.00,0.30,0,0,8
11304,1,113,9.50,9.50,0,0,0,0,1
11305,1,113,10.10,1.63,0,8.47,0,0,5
70503,7,705,410.15,77.40,34.39,283.36,0.50,14.50,62
70502,7,705,322.63,130.15,21.26,160.22,0,11.00,45
70501,7,705,141.44,53.24,10.00,78.20,0,0,16
20904,2,209,168.19,133.69,27.00,2.50,3,2.00,71
20905,2,209,290.89,113.27,67.25,97.37,13.00,0.00,85
20902,2,209,30.40,22.35,7.05,1.00,0,0,16
20903,2,209,39.24,11.20,24.78,1.26,2,0,24
20901,2,209,143.91,82.35,47.05,14.51,0,0.00,74
41002,4,410,128.74,24.84,5.70,91.20,0,7.00,42
41003,4,410,156.14,43.40,23.12,82.62,0,7.00,28
41001,4,410,404.23,57.83,3.00,336.90,0,6.00,75
10110,1,101,9.35,1.50,0,4.70,0,3.15,7
10111,1,101,9.08,9.08,0,0,0,0,16
60901,6,609,335.22,223.08,45.80,46.55,19.79,0,85
11902,1,119,0.1,0,0.1,0,0,0,1
70201,7,702,59.83,40.83,6.00,10.00,3.00,0,14
70202,7,702,81.68,21.62,17.88,40.18,0,2.00,28
70203,7,702,252.72,66.69,28.54,157.49,0,0,49
70204,7,702,233.87,40.70,28.50,149.67,0,15.00,47
70205,7,702,364.74,122.12,37.16,205.46,0,0,60
70206,7,702,41.68,6.16,4.00,26.02,5.50,0,14
11905,1,119,2.00,0,2.00,0,0,0,1
11908,1,119,14.75,0.00,7.00,4.75,3,0,7
11909,1,119,19.26,9.56,6.70,0,3.00,0,18
21501,2,215,10.26,4.26,3.00,3,0,0,9
21503,2,215,1.00,1.00,0,0,0,0,1
21502,2,215,6.50,0,3.00,1.50,1.00,1,4
30110,3,301,28.50,5.70,21.23,1.57,0,0,22
30111,3,301,66.72,13.90,40.82,12.00,0,0,22
40604,4,406,20.00,20.00,0,0,0,0,4
40603,4,406,17.84,11.69,5.15,1.00,0,0,30
40602,4,406,13.65,9.52,0.88,3.00,0,0.25,22
40601,4,406,2.50,2.50,0,0,0,0,5
30701,3,307,100.97,41.06,37.45,20.46,0,2.00,35
30703,3,307,9.50,0.50,4.00,5.00,0,0,4
30702,3,307,12.18,4.50,7.68,0,0,0,9
30704,3,307,4.00,2.00,2.00,0,0,0,2
30106,3,301,346.86,144.24,108.50,89.87,0.25,1,95
10806,1,108,3.36,3.36,0,0,0,0,3
10807,1,108,12.89,11.89,1.00,0,0,0,15
12005,1,120,0.5,0.5,0,0,0,0,1
12003,1,120,2.00,0,2.00,0,0,0,1
30102,3,301,150.41,97.61,0.50,51.80,0,0.50,26
10905,1,109,143.97,103.02,20.25,20.10,0.6,0,97
10904,1,109,71.55,58.21,7.31,6.03,0,0,73
51104,5,511,7.40,0.40,7.00,0,0,0,3
10906,1,109,69.05,55.19,3.25,9.61,0,1.00,44
10901,1,109,85.70,63.80,15.56,5.34,0,1.00,80
30101,3,301,98.01,92.01,0,6.00,0,0,12
10903,1,109,322.41,190.50,62.91,31.40,7.00,30.60,174
10902,1,109,48.01,39.26,8.75,0,0,0,35
21101,2,211,20.15,6.00,9.65,4.50,0,0,10
10309,1,103,1.20,1.20,0,0,0,0,1
10307,1,103,18.05,15.05,1.00,2.00,0,0,10
10305,1,103,10.19,8.04,1.15,1.00,0,0,9
10304,1,103,13.40,9.10,0,4.30,0,0,6
10303,1,103,3.50,1.50,0,2.00,0,0,3
10302,1,103,43.18,36.88,6.30,0,0,0,18
10301,1,103,13.65,9.90,1.75,2.00,0,0,9
60403,6,604,15.06,10.46,2.10,0,0,2.50,15
60401,6,604,2.97,1.50,0,0,0,1.47,7
21104,2,211,4.00,4.00,0,0,0,0,1
21107,2,211,0.50,0.50,0,0,0,0,1
70301,7,703,452.45,70.59,53.00,324.86,0,4,63
70303,7,703,30.00,30.00,0,0,0,0,1
10401,1,104,4.91,3.11,1.80,0,0,0.00,6
10402,1,104,1.10,0,1.10,0,0,0,2
10403,1,104,2.80,2.25,0.50,0,0.05,0,5
10404,1,104,6.60,5.00,1.60,0,0,0,5
10405,1,104,1.26,1.26,0,0,0,0,1
10406,1,104,0.25,0,0.25,0,0,0,1
10407,1,104,0.62,0.62,0,0,0,0,1
10408,1,104,2.50,0.50,2.00,0,0,0,3
10409,1,104,20.50,20.50,0,0,0,0,5
21303,2,213,5.00,5.00,0,0,0,0,4
21302,2,213,2.00,2.00,0,0,0,0,1
21301,2,213,22.81,15.41,2,4.90,0,0,14
21307,2,213,74.00,0,70.00,4.00,0,0,5
21305,2,213,0.00,0,0,0,0,0,1
21304,2,213,0.75,0.75,0,0,0,0,1
70306,7,703,24.30,0,10.00,14.30,0,0,4
20508,2,205,18.62,11.52,2.50,4.60,0,0,14
60309,6,603,0.50,0.50,0,0,0,0,1
60301,6,603,37.83,25.57,0.50,11.76,0,0,15
60302,6,603,24.97,1.90,5.50,17.57,0,0,8
60303,6,603,27.00,27.00,0,0,0,0,6
60304,6,603,9.50,9.50,0,0,0,0,1
60306,6,603,3.00,0,3.00,0,0,0,1
60307,6,603,1.00,0,1.00,0,0,0,1
30403,3,304,76.40,76.40,0,0,0,0,4
30401,3,304,3.78,0.50,0,3.28,0,0,2
