codigo,nombre,poblacion,provincia,canton,caudal,caudal humano,caudal agroganaderia,caudal industrial,caudal turismo,caudal otros,pozos,region de consumo,consumo promedio mensual en metros cubicos,consumo diario en litros
61101,Jacó,11685,6,611,656.23,362.56,91.98,44.00,135.69,19.00,191,Región Pacífico Central,5.56,185.333333333
61102,Tárcoles,5544,6,611,424.68,183.44,156.89,0,83.35,0.00,183,Región Pacífico Central,5.56,185.333333333
10109,Pavas,71384,1,101,38.18,12.50,0,25.68,0,0,26,Región Central,5.45,181.666666667
10108,Mata Redonda,8313,1,101,20.99,9.10,3,5.30,0,3.59,17,Región Central,5.45,181.666666667
10105,Zapote,18679,1,101,139.37,119.42,0,19.95,0,0,25,Región Central,5.45,181.666666667
10104,Catedral,12936,1,101,57.66,27.44,0,20.22,0,10,40,Región Central,5.45,181.666666667
10107,Uruca,31728,1,101,182.55,153.13,0,29.42,0,0,34,Región Central,5.45,181.666666667
10106,San Francisco de Dos Ríos,20209,1,101,40.49,15.53,1.00,23.96,0,0,23,Región Central,5.45,181.666666667
10101,Carmen,2702,1,101,59.65,46.00,0,4.33,9.32,0,32,Región Central,5.45,181.666666667
10103,Hospital,19270,1,101,67.75,32.04,0,25.61,0.10,10.00,39,Región Central,5.45,181.666666667
10102,Merced,12257,1,101,20.49,17.80,0,0.80,1.89,0,26,Región Central,5.45,181.666666667
10602,Tarbaca,1446,1,106,1.50,0.50,1.00,0,0,0,2,Región Central,5.45,181.666666667
60601,Quepos,19858,6,606,230.83,144.57,19.26,63.00,4.00,0,74,Región Pacífico Central,5.56,185.333333333
60603,Naranjito,3677,6,606,41.50,24.50,4.00,0,13.00,0,18,Región Pacífico Central,5.56,185.333333333
10603,Vuelta de Jorco,6499,1,106,3.60,1.10,2.50,0,0,0,3,Región Central,5.45,181.666666667
21404,San Jorge,2673,2,214,33.10,26.10,7.00,0,0,0,8,Región Huetar Norte,5.14,171.333333333
21401,Los Chiles,13262,2,214,262.56,163.29,83.72,12.80,2.75,0,64,Región Huetar Norte,5.14,171.333333333
21402,Caño Negro,1808,2,214,2.50,2.50,0,0,0,0,2,Región Huetar Norte,5.14,171.333333333
21403,El Amparo,5992,2,214,72.58,21.88,33.00,12.50,0,2.20,22,Región Huetar Norte,5.14,171.333333333
11911,Páramo,4410,,,,,,,,,,Región Brunca,5.36,178.666666667
11910,Río Nuevo,3061,,,,,,,,,,Región Brunca,5.36,178.666666667
10606,Monterrey,498,,,,,,,,,,Región Central,5.45,181.666666667
10604,San Gabriel,6061,,,,,,,,,,Región Central,5.45,181.666666667
10605,Legua,1521,,,,,,,,,,Región Central,5.45,181.666666667
40702,La Ribera,6040,4,407,274.86,143.07,3.08,124.21,0,4.50,53,Región Central,5.45,181.666666667
40703,La Asunción,5651,4,407,292.92,197.91,6.00,76.44,11.00,1.57,62,Región Central,5.45,181.666666667
40701,San Antonio,9942,4,407,471.31,449.16,9.15,13.00,0,0.00,35,Región Central,5.45,181.666666667
10202,San Antonio,22554,1,102,98.46,66.20,22.78,6.33,0,3.15,92,Región Central,5.45,181.666666667
10203,San Rafael,21971,1,102,178.41,103.51,27.98,27.56,15.86,3.50,121,Región Central,5.45,181.666666667
10201,Escazú,11984,1,102,69.80,57.84,9.21,2.75,0,0,73,Región Central,5.45,181.666666667
30510,Tres Equis,1808,,,,,,,,,,Región Central,5.45,181.666666667
30511,La Isabel,6116,3,305,0.50,0.50,0,0,0,0,1,Región Central,5.45,181.666666667
30512,Chirripó,4185,,,,,,,,,,Región Central,5.45,181.666666667
30109,Dulce Nombre,10548,3,301,274.21,237.49,16.60,20.12,0,0.00,39,Región Central,5.45,181.666666667
30108,Tierra Blanca,5103,3,301,1.05,1.05,0,0,0,0,2,Región Central,5.45,181.666666667
10804,Mata de Plátano,17370,1,108,13.57,13.57,0,0,0,0,10,Región Central,5.45,181.666666667
10805,Ipís,26033,1,108,6.00,4.00,0,2.00,0,0,6,Región Central,5.45,181.666666667
30105,Aguacaliente o San Franc,31789,3,301,191.01,141.23,17.76,26.42,5,0.60,52,Región Central,5.45,181.666666667
30104,San Nicolás,25948,3,301,125.45,61.50,12.11,45.84,0,6,56,Región Central,5.45,181.666666667
30103,Carmen,17425,3,301,9.78,6.78,0,0,0,0,6,Región Central,5.45,181.666666667
