id,name,humano_litros,agroganaderia_litros,turistico_litros,industrial_litros,otros_litros,humano_pozos,agroganaderia_pozos,turistico_pozos,industrial_pozos,otros_pozos
502,Nicoya,9512,1801,244,210,660,288,54,10,6,22
503,Santa Cruz,10059,2436,1257,151,1127,340,69,49,7,31
501,Liberia,6836,3435,362,963,488,106,50,1,19,12
505,Carrillo,5530,4063,328,171,1334,154,106,13,7,33
506,Cañas,1281,339,0,194,43,40,7,0,3,2
509,Nandayure,1857,1576,131,0,225,77,35,0,0,6
508,Tilarán,973,0,0,73,67,8,0,0,1,8
504,Bagaces,1779,596,204,207,51,29,11,3,3,7
511,Hojancha,774,73,0,26,54,24,2,4,2,7
510,La Cruz,551,53,83,5,206,15,1,0,1,6
507,Abangares,487,823,0,201,70,10,16,11,3,1
